"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Neemias Queta,,3.2,1.8,0.1,0.1
Ian Mahinmi,85.4,3.4,1.8,0.7,0.2
Nazr Mohammed,83.4,3.3,2.5,0.0,-0.1
Howie Schultz,83.2,3.0,2.0,0.6,
Stanley Roberts,81.9,3.2,2.1,0.7,-0.1
Gene Conley,81.3,2.8,2.1,0.4,0.0
Pete Cross,79.1,2.6,1.8,-0.2,
Lucas Nogueira,76.5,3.7,1.6,0.7,0.0
Gustavo AyÃ³n,76.3,3.2,1.2,0.7,
Kosta Koufos,76.3,2.7,1.3,0.2,0.0
Mikki Moore,76.1,2.8,2.2,0.6,0.1
