"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Neemias Queta,,3.2,1.8,0.1,0.1,,
Howie Schultz,83.2,3.0,2.0,0.6,,,
Gene Conley,79.5,2.8,2.1,0.4,0.0,0.0,-0.1
Pete Cross,79.1,2.6,1.8,-0.2,,,
Lucas Nogueira,76.5,3.7,1.6,0.7,0.0,,
Gustavo AyÃ³n,76.3,3.2,1.2,0.7,,,
Vladimir Stepania,73.1,2.9,1.7,0.8,0.2,-0.1,-0.3
Jack Toomay,71.7,3.6,1.6,1.1,,,
Ed Kalafat,70.6,2.6,2.1,0.7,,,
Greg Stiemsma,66.8,2.7,1.7,1.5,0.1,,
Hasheem Thabeet,66.1,2.2,2.0,0.3,0.3,0.0,
