"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Lauri Markkanen,,8.2,6.2,5.0,3.3,3.0,2.7,2.6,2.2,,,,
Carl Landry,89.5,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,,,
OG Anunoby,88.8,6.5,5.7,4.7,3.7,3.1,3.0,2.6,2.0,,,,
Kenny Carr,88.1,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0.0,,
Kevon Looney,84.7,8.7,6.8,6.0,4.3,4.0,3.4,2.8,1.4,0.1,0.0,,
Dennis Scott,84.6,8.8,5.0,4.6,3.8,2.8,2.6,2.4,1.5,1.2,0.7,,
Joe Caldwell,84.3,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2.0,1.1,0.3,
Don Kojis,84.2,8.3,5.0,4.8,3.7,3.3,3.2,2.2,1.9,1.5,0.7,0.7,0.5
Dorian Finney-Smith,83.7,6.6,4.9,4.4,3.3,2.9,2.6,2.1,1.4,0.1,,,
Royce O'Neale,83.6,5.6,5.5,4.3,3.4,3.3,2.9,2.8,2.4,,,,
Bob Gross,83.2,7.4,7.1,4.4,3.8,3.1,2.9,1.7,0.2,,,,
