"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Lauri Markkanen,,8.2,6.2,5.0,3.3,3.0,2.7,2.6,2.2
OG Anunoby,88.8,6.5,5.7,4.7,3.7,3.1,3.0,2.6,2.0
Ryan Anderson,88.1,8.9,6.5,6.4,3.9,3.5,3.1,2.5,2.3
Jae Crowder,86.9,7.3,6.7,4.4,3.9,3.8,2.6,2.3,1.5
Matt Harpring,86.8,8.8,6.1,5.5,4.7,2.8,2.6,2.6,0.2
Carl Landry,86.5,7.7,6.2,5.9,4.1,3.7,2.9,2.8,0.4
Dennis Scott,86.5,8.8,5.0,4.6,3.8,2.8,2.6,2.4,0.7
Drew Gooden,86.4,8.5,6.6,6.5,4.4,3.3,2.7,1.9,1.7
Stacey Augmon,85.7,9.7,5.6,5.1,3.7,3.7,2.6,1.8,1.5
Antoine Walker,85.3,6.7,6.6,5.0,4.8,3.9,2.6,2.6,1.7
Juwan Howard,85.2,7.0,5.6,4.9,4.6,4.4,2.8,2.8,1.9
