"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Andrew Harrison,,1.7,1.6,-0.1,,
Fred LaCour,93.6,1.7,1.7,-0.1,,
Billy Shepherd,84.6,1.7,1.3,-0.3,,
Richie Regan,82.0,1.6,1.5,0.4,,
Steve Bracey,77.8,2.1,1.5,0.3,,
Quinn Cook,77.0,1.8,1.6,0.3,0.2,0.2
Caleb Houstan,76.1,1.8,1.5,0.7,,
Ollie Mack,75.5,1.6,1.0,-0.1,,
Sidney Lowe,73.8,1.7,1.5,0.5,0.3,
Eric Maynor,72.9,1.9,1.5,0.2,0.1,-0.4
Rashad McCants,71.6,1.7,1.6,0.6,-0.3,
