"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Andrew Harrison,,1.7,1.6,-0.1
Shane Larkin,94.3,1.7,1.4,-0.1
Jevon Carter,94.0,1.8,1.6,0.0
Fred LaCour,93.6,1.7,1.7,-0.1
Rashad McCants,92.1,1.7,1.6,-0.3
Quinn Cook,88.7,1.8,1.6,0.2
Eric Maynor,87.9,1.9,1.5,0.1
Anthony Carter,86.6,1.7,1.4,0.2
Don Putman,85.8,1.7,1.5,-0.5
Will Bynum,85.6,1.9,1.3,-0.1
Billy Shepherd,84.6,1.7,1.3,-0.3
