"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Lonny Baxter,,1.5,0.9,0.7,-0.2,
Art Spector,92.1,1.4,1.0,0.6,-0.2,
Abdel Nader,83.8,1.3,0.9,0.7,0.0,-0.1
Harry Giles,81.7,1.6,1.0,0.5,0.1,
Joe Kopicki,80.1,1.9,0.9,0.7,,
Gary Clark,77.7,1.2,1.0,0.7,0.1,
Chris Johnson,77.5,1.4,1.1,0.8,0.2,
Calvin Garrett,77.4,1.4,0.6,0.6,0.0,
Keith Lee,76.8,1.9,1.1,0.8,,
Dominick Barlow,74.1,1.1,1.0,0.7,,
Byron Houston,71.2,1.8,0.9,0.7,0.5,
