"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Lonny Baxter,,1.5,0.9,0.7,-0.2
Art Spector,92.1,1.4,1.0,0.6,-0.2
Abdel Nader,91.7,1.3,0.9,0.7,-0.1
Harry Giles,81.7,1.6,1.0,0.5,0.1
Darvin Ham,81.2,1.7,0.9,0.9,0.1
Joe Kopicki,80.1,1.9,0.9,0.7,
Timoth̩ Luwawu-Cabarrot,79.8,1.7,0.8,0.8,0.2
Reggie Slater,79.2,1.5,0.8,0.4,-0.1
Hilton Armstrong,79.0,1.5,1.2,0.5,-0.1
Jeff Turner,79.0,1.2,0.8,0.6,-0.2
Charles Davis,78.9,1.5,1.0,0.9,0.3
