Season,Team,Lg,Salary
2002-03,Chicago Bulls,NBA,"$349,458"
2003-04,Toronto Raptors,NBA,"$636,679"
2004-05,New Orleans Hornets,NBA,"$542,475"
2005-06,Houston Rockets,NBA,"$745,248"
Career,(may be incomplete),,"$2,273,860"
