"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '16-3P')","('Unnamed: 20_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 25_level_0', 'Awards')"
2011-12,21,LAC,NBA,SG,10,0,45,0.357,4.5,1.0,0.643,0.286,0.0,0.071,0.0,0.357,0.444,0.25,0.0,0.4,0.286,1,0,0,
1 Yr,1 Yr,1 Yr,1 Yr,,10,0,45,0.357,4.5,1.0,0.643,0.286,0.0,0.071,0.0,0.357,0.444,0.25,0.0,0.4,0.286,1,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,369,0.357,4.5,1.0,0.643,0.286,0.0,0.071,0.0,0.357,0.444,0.25,0.0,0.4,0.286,8,0,0,
