"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')","('Win Shares (Best to Worst)', '19')","('Win Shares (Best to Worst)', '20')","('Win Shares (Best to Worst)', '21')"
Al Horford,,10.9,10.1,9.4,8.8,8.7,7.8,7.6,7.5,6.8,6.3,6.3,6.2,5.5,5.4,4.4,2.8,1.6,1.3,,,
Dikembe Mutombo,88.8,11.3,10.8,9.9,9.6,9.4,8.8,8.7,8.1,7.9,7.6,5.2,4.8,4.7,3.8,3.1,2.3,0.8,0.2,,,
Jack Sikma,87.1,12.6,9.8,9.7,9.4,8.8,8.6,8.3,8.1,8.0,7.8,7.4,5.4,5.0,3.5,,,,,,,
Tyson Chandler,85.7,10.3,10.0,9.5,9.4,9.3,8.3,7.9,5.4,4.9,4.1,3.9,3.8,3.4,2.9,2.7,2.1,1.9,1.8,0.6,,
Bill Laimbeer,85.2,10.8,10.5,10.1,9.8,9.2,9.0,8.8,8.5,8.0,5.4,5.4,4.9,4.7,0.5,,,,,,,
Vlade Divac,84.2,9.5,8.3,7.4,7.4,7.3,7.3,7.2,7.0,6.1,5.9,5.6,5.3,5.2,5.0,1.8,0.0,,,,,
Robert Parish,84.0,10.9,10.8,10.5,10.5,10.0,10.0,9.2,9.2,9.0,7.8,7.4,7.1,6.8,6.4,4.8,4.6,4.0,4.0,1.7,1.4,0.9
Wes Unseld,82.6,11.1,10.8,10.7,10.6,10.0,9.5,8.7,8.4,8.3,6.8,6.2,5.5,3.6,,,,,,,,
Alonzo Mourning,81.7,12.9,9.9,9.4,8.4,8.2,7.9,7.5,7.4,6.3,4.8,3.5,1.2,0.9,0.8,0.6,,,,,,
Bob Lanier,81.1,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,6.8,6.7,6.6,5.9,5.2,2.3,,,,,,,
Marc Gasol,79.5,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6.0,5.6,4.0,3.7,3.0,2.8,,,,,,,,
