Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2006-07,21,NOK,NBA,PF,43.0,4.0,534.0,5.5,13.2,0.417,0.0,0.0,5.5,13.2,0.417,0.417,1.6,3.3,0.485,4.4,6.3,10.7,1.2,0.8,2.3,2.2,7.5,12.6,92.0,107.0,
2007-08,22,2TM,NBA,PF,14.0,0.0,87.0,2.4,8.5,0.286,0.0,0.0,2.4,8.5,0.286,0.286,0.0,6.1,0.0,3.6,7.3,10.9,0.0,1.2,3.0,3.6,4.9,4.9,47.0,105.0,
2007-08,22,CLE,NBA,PF,7.0,0.0,68.0,1.6,4.7,0.333,0.0,0.0,1.6,4.7,0.333,0.333,0.0,6.3,0.0,3.9,7.8,11.7,0.0,1.6,3.9,3.1,5.5,3.1,48.0,103.0,
2007-08,22,CHI,NBA,PF,7.0,0.0,19.0,5.4,21.7,0.25,0.0,0.0,5.4,21.7,0.25,0.25,0.0,5.4,0.0,2.7,5.4,8.1,0.0,0.0,0.0,5.4,2.7,10.9,44.0,113.0,
2008-09,23,2TM,NBA,PF,18.0,0.0,84.0,6.7,15.3,0.44,0.0,0.0,6.7,15.3,0.44,0.44,4.3,9.8,0.438,3.1,6.7,9.8,1.2,0.6,2.4,1.2,4.9,17.7,97.0,111.0,
2008-09,23,CHI,NBA,PF,11.0,0.0,61.0,9.3,17.8,0.524,0.0,0.0,9.3,17.8,0.524,0.524,5.1,11.8,0.429,3.4,6.8,10.1,1.7,0.8,3.4,0.0,5.1,23.7,116.0,108.0,
2008-09,23,SAC,NBA,PF,7.0,0.0,23.0,0.0,8.9,0.0,0.0,0.0,0.0,8.9,0.0,0.0,2.2,4.4,0.5,2.2,6.6,8.9,0.0,0.0,0.0,4.4,4.4,2.2,26.0,118.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,75.0,4.0,705.0,5.3,12.8,0.409,0.0,0.0,5.3,12.8,0.409,0.409,1.7,4.4,0.39,4.1,6.5,10.6,1.1,0.8,2.4,2.3,6.8,12.2,88.0,107.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,18.0,0.0,80.0,8.4,18.7,0.448,0.0,0.0,8.4,18.7,0.448,0.448,3.9,10.3,0.375,3.2,6.4,9.7,1.3,0.6,2.6,1.3,4.5,20.6,95.0,109.0,
NOK (1 Yr),NOK (1 Yr),NOK (1 Yr),NOK (1 Yr),,43.0,4.0,534.0,5.5,13.2,0.417,0.0,0.0,5.5,13.2,0.417,0.417,1.6,3.3,0.485,4.4,6.3,10.7,1.2,0.8,2.3,2.2,7.5,12.6,92.0,107.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,7.0,0.0,68.0,1.6,4.7,0.333,0.0,0.0,1.6,4.7,0.333,0.333,0.0,6.3,0.0,3.9,7.8,11.7,0.0,1.6,3.9,3.1,5.5,3.1,48.0,103.0,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,7.0,0.0,23.0,0.0,8.9,0.0,0.0,0.0,0.0,8.9,0.0,0.0,2.2,4.4,0.5,2.2,6.6,8.9,0.0,0.0,0.0,4.4,4.4,2.2,26.0,118.0,
