Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2006-07,21,NOK,NBA,PF,43.0,4.0,534.0,3.7,8.9,0.417,0.0,0.0,3.7,8.9,0.417,0.417,1.1,2.2,0.485,3.0,4.2,7.2,0.8,0.5,1.6,1.5,5.1,8.5,
2007-08,22,2TM,NBA,PF,14.0,0.0,87.0,1.7,5.8,0.286,0.0,0.0,1.7,5.8,0.286,0.286,0.0,4.1,0.0,2.5,5.0,7.4,0.0,0.8,2.1,2.5,3.3,3.3,
2007-08,22,CLE,NBA,PF,7.0,0.0,68.0,1.1,3.2,0.333,0.0,0.0,1.1,3.2,0.333,0.333,0.0,4.2,0.0,2.6,5.3,7.9,0.0,1.1,2.6,2.1,3.7,2.1,
2007-08,22,CHI,NBA,PF,7.0,0.0,19.0,3.8,15.2,0.25,0.0,0.0,3.8,15.2,0.25,0.25,0.0,3.8,0.0,1.9,3.8,5.7,0.0,0.0,0.0,3.8,1.9,7.6,
2008-09,23,2TM,NBA,PF,18.0,0.0,84.0,4.7,10.7,0.44,0.0,0.0,4.7,10.7,0.44,0.44,3.0,6.9,0.438,2.1,4.7,6.9,0.9,0.4,1.7,0.9,3.4,12.4,
2008-09,23,CHI,NBA,PF,11.0,0.0,61.0,6.5,12.4,0.524,0.0,0.0,6.5,12.4,0.524,0.524,3.5,8.3,0.429,2.4,4.7,7.1,1.2,0.6,2.4,0.0,3.5,16.5,
2008-09,23,SAC,NBA,PF,7.0,0.0,23.0,0.0,6.3,0.0,0.0,0.0,0.0,6.3,0.0,0.0,1.6,3.1,0.5,1.6,4.7,6.3,0.0,0.0,0.0,3.1,3.1,1.6,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,75.0,4.0,705.0,3.6,8.7,0.409,0.0,0.0,3.6,8.7,0.409,0.409,1.2,3.0,0.39,2.8,4.4,7.2,0.7,0.6,1.6,1.5,4.6,8.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,18.0,0.0,80.0,5.9,13.1,0.448,0.0,0.0,5.9,13.1,0.448,0.448,2.7,7.2,0.375,2.3,4.5,6.8,0.9,0.5,1.8,0.9,3.2,14.4,
NOK (1 Yr),NOK (1 Yr),NOK (1 Yr),NOK (1 Yr),,43.0,4.0,534.0,3.7,8.9,0.417,0.0,0.0,3.7,8.9,0.417,0.417,1.1,2.2,0.485,3.0,4.2,7.2,0.8,0.5,1.6,1.5,5.1,8.5,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,7.0,0.0,68.0,1.1,3.2,0.333,0.0,0.0,1.1,3.2,0.333,0.333,0.0,4.2,0.0,2.6,5.3,7.9,0.0,1.1,2.6,2.1,3.7,2.1,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,7.0,0.0,23.0,0.0,6.3,0.0,0.0,0.0,0.0,6.3,0.0,0.0,1.6,3.1,0.5,1.6,4.7,6.3,0.0,0.0,0.0,3.1,3.1,1.6,
