"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Marcus Banks,,2.3,1.9,0.8,0.7,0.5,0.4,0.0,0.0
Claude Terry,82.1,2.4,1.8,1.0,1.0,0.8,0.0,,
Sterling Brown,81.9,2.1,1.8,1.1,0.8,0.7,0.0,,
Travis Diener,80.0,2.5,1.9,0.7,0.6,0.0,,,
Chris Douglas-Roberts,78.3,2.4,1.6,0.7,0.6,0.1,0.0,,
Hamidou Diallo,77.7,2.1,1.6,1.3,0.8,0.4,0.0,,
Glenn Robinson III,77.6,2.9,2.5,0.8,0.7,0.6,0.3,0.1,
Hollis Thompson,77.3,2.6,2.0,1.2,0.7,,,,
Furkan Korkmaz,76.6,2.8,2.0,1.2,1.1,0.4,0.1,0.0,
John Wetzel,76.1,2.0,1.5,1.1,0.7,0.5,0.5,0.4,
Mike Barr,75.8,2.7,1.7,1.4,0.7,0.4,,,
