"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Jayson Tatum,,10.5,10.4,9.6,9.5,7.1,6.9,6.5,5.0,,,,,
Roger Brown,88.4,13.3,10.9,10.0,9.3,7.3,6.5,6.1,1.8,,,,,
Rudy Tomjanovich,86.5,12.8,10.4,10.1,8.4,7.3,6.9,6.2,3.6,2.1,1.7,1.0,,
George McGinnis,86.4,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3,1.9,1.7,0.4,,
Larry Kenon,86.2,10.0,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.9,0.2,,,
Calvin Natt,86.0,10.2,9.8,9.3,8.4,7.1,6.1,4.2,1.1,0.5,0.3,0.0,,
Kiki Vandeweghe,84.7,11.0,10.8,10.3,9.9,8.4,7.7,5.7,3.8,2.9,2.0,1.2,1.1,0.8
Larry Johnson,84.5,10.1,9.6,8.9,8.5,7.7,6.9,5.1,4.9,4.1,3.9,,,
Billy Cunningham,83.9,11.9,10.3,10.0,9.0,8.3,6.8,6.4,6.1,5.0,3.5,1.2,,
George Yardley,83.4,12.3,10.0,9.0,7.6,7.5,6.8,5.3,,,,,,
John Drew,83.1,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3.0,0.7,,
