"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Davion Mitchell,,3.0,1.5,1.3,0.1
Jon Sundvold,95.6,3.0,1.5,1.2,0.2
Bennedict Mathurin,91.2,3.0,1.8,1.4,
Bucky Bockhorn,88.7,3.1,1.3,1.1,0.3
Gary Grant,88.1,3.0,1.7,1.3,-0.4
Tyus Edney,87.7,3.3,1.5,1.5,0.5
Nick Young,86.6,2.8,1.4,1.2,0.4
Ralph Johnson,86.2,2.9,1.6,0.8,0.0
Tom Garrick,85.7,2.5,1.8,1.4,0.2
Luguentz Dort,85.6,2.9,1.4,0.8,0.3
Justin Jackson,85.2,2.9,1.2,1.0,0.2
