"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 30_level_0', 'Awards')"
2022-23,24,SAC,NBA,PG,7.0,0.0,140.0,0.413,19.8,0.413,0.065,0.152,0.065,0.13,0.587,0.632,0.667,0.714,0.667,0.5,0.259,0.417,1.0,0.022,1.0,0.37,0.1,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,26,MIA,NBA,PG,4.0,3.0,142.0,0.61,13.2,0.659,0.195,0.366,0.073,0.024,0.341,0.667,0.75,0.733,0.333,0.0,0.5,0.278,0.714,0.0,0.0,0.143,0.5,0.0,0.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,11.0,3.0,282.0,0.506,16.5,0.529,0.126,0.253,0.069,0.08,0.471,0.652,0.727,0.727,0.5,0.429,0.341,0.333,0.857,0.011,1.0,0.293,0.167,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,22.0,2102.0,0.506,16.5,0.529,0.126,0.253,0.069,0.08,0.471,0.652,0.727,0.727,0.5,0.429,0.341,0.333,0.857,0.011,7.0,0.293,0.167,7.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,7.0,0.0,140.0,0.413,19.8,0.413,0.065,0.152,0.065,0.13,0.587,0.632,0.667,0.714,0.667,0.5,0.259,0.417,1.0,0.022,1.0,0.37,0.1,1.0,0.0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,4.0,3.0,142.0,0.61,13.2,0.659,0.195,0.366,0.073,0.024,0.341,0.667,0.75,0.733,0.333,0.0,0.5,0.278,0.714,0.0,0.0,0.143,0.5,0.0,0.0,
