"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Deron Williams,,11.3,10.9,10.3,8.4,7.3,7.2,5.4,4.1,3.7,3.6,2.8,2.4,,,
Dick Van Arsdale,90.8,10.4,10.2,9.0,8.7,7.0,5.9,5.6,5.2,4.0,3.8,2.7,2.6,,,
Tim Hardaway,89.1,12.9,11.7,9.9,9.2,7.5,7.3,6.4,5.4,5.1,4.3,3.3,1.8,0.2,,
Stephon Marbury,89.0,11.7,9.6,9.1,7.8,7.4,7.1,5.9,5.3,5.3,3.9,3.7,1.1,-0.3,,
Mookie Blaylock,88.1,12.5,10.2,9.4,9.0,7.0,5.6,4.9,4.7,3.5,3.3,2.1,-0.1,-0.3,,
Gus Williams,88.0,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1,,,,
Louie Dampier,87.0,10.1,9.5,8.5,8.1,7.4,7.2,6.0,5.4,5.0,4.0,1.6,1.2,,,
Walter Davis,87.0,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,3.8,3.6,3.5,2.7,2.0,1.5,0.6
Isiah Thomas,86.0,11.2,9.1,8.8,7.6,7.6,7.4,7.0,6.7,5.8,3.7,3.4,2.3,0.2,,
Steve Smith,85.4,10.4,10.2,9.1,8.2,8.1,7.9,7.8,6.4,4.4,3.5,2.5,1.9,1.8,1.5,
Sam Cassell,85.3,12.1,9.6,9.2,8.6,8.5,8.3,7.6,4.7,3.9,3.9,3.8,2.8,2.2,1.8,0.8
