"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Rodney Carney,,1.6,1.5,1.5,1.3,0.3,
Thon Maker,92.1,2.0,1.5,1.5,1.3,0.3,
Jerry Chambers,84.3,1.5,1.4,1.3,1.1,0.0,0.0
Larry Staverman,84.0,1.6,1.6,1.4,1.2,1.1,
Zeke Nnaji,81.4,1.8,1.6,1.2,1.2,0.9,
Al Thornton,78.5,2.2,1.6,1.3,1.1,,
Jericho Sims,78.1,2.6,1.5,1.5,1.3,,
Oshae Brissett,75.8,2.2,1.8,1.7,1.1,0.1,0.1
Chimezie Metu,75.6,2.1,1.5,1.5,0.6,0.3,-0.3
Semi Ojeleye,75.6,1.9,1.2,1.2,0.7,0.2,
Jeremiah Robinson-Earl,75.4,1.9,1.7,1.5,0.6,,
