"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Sergio RodrÃ­guez,,1.7,1.2,0.9,0.7,-0.2
Donnie Butcher,85.1,1.9,1.2,1.1,0.5,-0.3
Mike Davis,80.9,2.2,1.2,0.9,0.6,
Lloyd Walton,79.5,1.9,1.1,1.1,1.1,0.1
Mo Layton,77.5,1.9,1.1,1.0,0.3,0.1
Todd Lichti,76.3,1.8,1.3,1.2,1.0,0.2
Cam Thomas,76.2,2.5,1.2,1.0,0.8,
John Warren,75.8,1.7,0.9,0.8,0.5,0.3
Patrick McCaw,75.5,1.7,1.4,0.6,0.5,0.1
Corky Devlin,74.7,1.8,1.2,0.8,,
Lindy Waters III,73.4,1.1,1.0,0.9,0.8,
