"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Luther Head,,5.7,3.5,3.5,0.9,0.6,0.6,,,,
Isaiah Joe,87.3,5.1,3.8,3.5,0.6,0.4,,,,,
Scott Burrell,87.2,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,,
Randy Wittman,85.2,5.9,4.2,3.5,1.6,1.2,0.7,0.0,0.0,0.0,
Mitchell Wiggins,83.8,5.4,3.5,3.3,2.0,1.2,-0.1,,,,
Luguentz Dort,83.6,5.6,4.6,2.9,1.4,0.8,0.3,,,,
Elliot Perry,83.4,5.2,3.2,3.1,1.3,0.9,0.6,0.3,-0.1,-0.1,-0.4
Rudy FernÃ¡ndez,83.0,6.1,3.8,3.0,1.2,,,,,,
Ron Brewer,82.0,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,,
Aaron Wiggins,81.6,5.4,3.7,2.6,1.2,,,,,,
Chick Reiser,81.3,5.5,3.9,3.7,,,,,,,
