"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Luther Head,,5.7,3.5,3.5,0.9,0.6,0.6
Isaiah Joe,87.3,5.1,3.8,3.5,0.6,0.4,
Randy Wittman,85.7,5.9,4.2,3.5,1.6,1.2,0.7
Darnell Valentine,84.0,5.0,3.7,3.4,1.7,1.1,1.0
Joe Harris,83.8,5.5,4.3,4.0,0.8,0.2,0.0
Mitchell Wiggins,83.8,5.4,3.5,3.3,2.0,1.2,-0.1
Steve Kerr,83.7,6.1,3.2,2.4,1.3,0.6,0.4
Luguentz Dort,83.6,5.6,4.6,2.9,1.4,0.8,0.3
Eric Snow,83.5,6.1,3.8,3.8,1.9,1.3,0.5
Ron Brewer,83.4,5.6,4.3,3.3,1.6,1.4,0.3
Steve Blake,83.1,5.8,3.8,2.8,2.1,0.7,0.3
