"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Jeremy Lamb,,5.3,4.9,3.3,2.7,2.7,2.7,2.1,1.6,1.2,0.2,,,,
Bimbo Coles,91.8,5.7,5.0,3.2,3.0,2.8,2.7,2.3,1.1,0.9,0.5,0.4,0.0,0.0,-0.1
Buddy Hield,91.2,5.9,4.4,3.5,3.0,2.8,2.8,2.2,1.9,1.3,,,,,
Ernie Grunfeld,89.1,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4,,,,,
Gary Harris,89.1,5.5,4.6,4.0,2.7,2.6,2.3,2.2,1.9,1.0,0.7,-0.7,,,
Josh Richardson,89.0,5.6,5.4,3.5,2.5,2.4,2.2,2.1,2.1,1.8,-0.1,,,,
Nate Robinson,88.2,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3,0.0,,,
Lucious Harris,87.7,5.1,4.7,4.1,3.1,2.8,2.5,2.1,1.3,1.1,0.8,0.6,0.4,,
Hubert Davis,87.6,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1,-0.1,,
Jeremy Lin,86.9,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0.0,,,,,
Chucky Atkins,86.6,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,0.2,-0.2,,,
