"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Scottie Barnes,,6.6,5.0,4.3,3.5,,,,,,,,
Bob Donham,92.2,6.1,4.5,3.8,3.5,,,,,,,,
Franz Wagner,87.8,6.4,5.6,5.4,4.0,,,,,,,,
Immanuel Quickley,87.0,6.7,4.7,4.2,3.2,2.5,,,,,,,
Jim Seminoff,85.9,5.4,4.5,3.6,3.4,,,,,,,,
Jeff McInnis,84.5,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1,
Lewis Lloyd,83.4,6.3,4.7,4.6,2.6,1.6,0.1,0.0,,,,,
Austin Reaves,82.2,7.6,5.9,5.4,2.9,,,,,,,,
Gene Littles,80.9,7.7,4.8,4.2,3.6,1.6,1.4,,,,,,
Mike James,79.1,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0.0,-0.1,-0.1,-0.1
Grayson Allen,79.0,6.9,5.1,4.2,2.7,2.5,1.2,0.0,,,,,
