"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Salim Stoudamire,,1.2,0.8,0.3
A.J. Price,94.9,1.2,0.7,0.3
Mike D'Antoni,91.1,1.0,0.8,0.3
Jimmer Fredette,89.7,1.1,0.8,0.3
MarShon Brooks,89.3,1.3,0.8,0.4
Luguentz Dort,86.9,1.4,0.8,0.3
Matt Thomas,85.7,1.2,0.6,0.2
Si Green,85.4,1.0,0.8,0.4
Steve Alford,85.0,1.4,0.9,0.3
Dion Glover,84.3,0.9,0.8,0.3
Vonteego Cummings,83.8,1.3,0.6,0.2
