Season,Team,Lg,Salary
2006-07,New Jersey Nets,NBA,"$1,097,880"
2007-08,New Jersey Nets,NBA,"$1,180,200"
2008-09,Golden State Warriors,NBA,"$1,262,520"
2009-10,Memphis Grizzlies,NBA,"$855,189"
Career,(may be incomplete),,"$4,395,789"
