"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Trey Murphy III,,7.6,5.4,3.5,1.9,,
Ernie Vandeweghe,88.5,7.1,4.8,3.9,2.1,0.3,-0.1
Jack Kerris,84.2,5.9,5.7,4.1,2.1,,
Vince Boryla,83.6,7.4,3.9,3.6,2.1,-1.0,
Bones McKinney,83.1,7.1,4.9,3.3,0.2,0.0,-0.2
Toby Knight,82.6,7.3,5.7,1.6,1.1,,
Art Heyman,81.8,8.5,6.1,2.7,1.3,0.6,0.0
Bob Lavoy,81.2,5.8,5.8,3.4,1.0,,
John Brisker,79.6,8.2,6.3,3.1,2.3,1.7,0.5
Randy Mahaffey,79.5,5.7,4.7,3.7,2.6,,
Willie Murrell,78.9,7.0,4.6,3.1,,,
