"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Brandon Rush,,3.5,2.6,2.5,2.0,0.9,0.4,0.0,-0.3,-0.4
Toney Douglas,85.4,4.2,2.5,2.4,2.2,0.9,0.5,0.2,-0.6,
Landry Shamet,85.1,3.6,2.6,2.6,1.8,1.2,1.0,0.3,,
Jacque Vaughn,84.2,3.5,3.0,2.0,1.8,1.5,0.4,0.1,0.0,-0.4
Quintin Dailey,83.4,3.7,2.6,2.1,2.0,1.3,1.0,0.3,0.1,-0.3
Kevin Ollie,82.8,3.8,2.4,2.4,1.4,1.1,0.9,0.1,0.0,-0.1
Gary Neal,82.5,3.5,2.5,1.9,1.4,1.0,0.6,-0.1,,
Trenton Hassell,81.7,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1
Charlie Criss,81.3,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0,
Kris Dunn,81.1,4.0,2.3,2.0,1.9,0.9,0.6,0.2,0.1,-0.2
Armond Hill,80.7,4.2,2.6,2.5,1.0,0.8,0.5,0.0,-0.4,
