"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jordan McRae,,0.7,0.5,0.4,0.2,
Dylan Windler,84.6,0.8,0.5,0.3,0.0,
Dalano Banton,80.5,0.8,0.5,0.4,0.4,
Keith McLeod,80.1,0.8,0.6,0.3,0.2,
Tracy Moore,79.8,0.6,0.5,0.3,0.3,0.1
Gerald Glass,79.2,0.9,0.5,0.3,0.1,
Mario West,78.3,0.5,0.4,0.3,0.2,
Skylar Mays,77.8,0.8,0.7,0.4,0.3,
Chris Corchiani,76.8,0.9,0.4,0.3,,
Dru Smith,76.7,0.7,0.3,0.3,,
Acie Law,74.7,0.7,0.6,0.4,-0.1,
