"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Malachi Flynn,,1.0,0.8,0.5,0.5,0.0,,,
JaKarr Sampson,79.7,1.2,0.8,0.6,0.5,0.3,0.1,,
MarShon Brooks,77.8,1.3,0.8,0.7,0.4,0.1,,,
Steve Alford,77.1,1.4,0.9,0.6,0.3,,,,
Dalen Terry,76.6,1.1,0.8,0.5,,,,,
Frank Jackson,76.2,1.2,0.7,0.4,0.2,0.0,,,
Reggie Jordan,75.4,1.2,0.8,0.6,0.4,0.3,-0.2,,
Rodney Buford,74.0,0.8,0.8,0.8,0.6,-0.2,,,
Saben Lee,72.1,1.5,0.9,0.7,0.4,,,,
Mitchell Butler,72.0,1.1,0.6,0.5,0.5,0.3,0.1,0.1,-0.2
Morlon Wiley,71.9,1.1,0.9,0.5,0.2,0.1,0.1,-0.2,
