"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Rui Hachimura,,4.3,4.1,2.1,1.8,1.8,1.4,,,,
Mike O'Koren,92.2,4.1,3.8,2.0,1.9,1.5,1.2,0.1,-0.1,,
David Benoit,88.4,4.6,3.9,2.3,2.0,1.6,1.6,0.7,,,
John Brown,88.1,4.2,3.7,2.6,2.3,1.7,1.7,0.1,,,
Derek Strong,85.3,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0.0
Danny Vranes,85.1,4.2,3.4,2.4,2.1,1.8,0.8,0.6,,,
Kenny Walker,83.5,4.7,4.0,3.1,2.7,1.9,1.3,0.1,,,
Jeff Cook,83.3,4.5,3.7,2.4,2.3,2.2,2.0,0.6,0.1,,
Bill Calhoun,82.8,4.5,4.1,3.9,2.2,2.1,1.4,0.4,,,
Ed Conlin,81.7,4.7,4.3,2.0,2.0,0.7,0.5,-0.1,,,
Howard Porter,81.7,4.1,3.9,2.7,2.4,2.4,1.1,1.0,,,
