"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Rui Hachimura,,4.3,4.1,2.1,1.8,1.8,1.4
Mike O'Koren,93.1,4.1,3.8,2.0,1.9,1.5,1.2
Andrew Wiggins,92.3,4.2,4.1,2.1,2.1,1.9,0.6
David Benoit,91.8,4.6,3.9,2.3,2.0,1.6,1.6
Andrea Bargnani,91.6,4.2,3.9,2.5,2.2,1.9,1.4
Kyle O'Quinn,89.7,4.8,3.9,2.5,1.6,1.6,1.4
Bobby Portis,88.7,4.8,3.5,2.4,1.9,1.6,1.5
John Brown,88.6,4.2,3.7,2.6,2.3,1.7,1.7
Danny Vranes,87.8,4.2,3.4,2.4,2.1,1.8,0.8
Frank Kaminsky,86.9,3.6,3.3,2.3,2.0,1.8,1.4
Jeff Cook,86.5,4.5,3.7,2.4,2.3,2.2,2.0
