"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
K.J. McDaniels,,0.6,0.5,0.2,,
Jaden Springer,92.7,0.6,0.5,0.3,0.0,
Darrin Hancock,81.4,0.5,0.4,0.2,,
DeAndre Liggins,76.0,0.6,0.5,0.5,0.0,0.0
Tyler Dorsey,74.1,0.6,0.4,0.1,,
Kennard Winchester,74.0,0.5,0.4,0.3,,
Markel Brown,73.9,0.6,0.5,0.0,,
Frank Mason III,73.9,0.5,0.4,0.3,0.0,
Chasson Randle,73.4,0.7,0.6,0.0,0.0,
Dylan Windler,72.2,0.8,0.5,0.3,0.0,
Dru Smith,70.8,0.7,0.3,0.3,,
