"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Kenneth Faried,,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3
Eddie Johnson,95.0,7.4,6.5,5.6,5.3,4.3,4.0,3.0,1.8
Armen Gilliam,94.3,7.6,6.8,6.6,5.1,4.6,4.5,2.8,1.3
Brian Grant,93.0,8.7,6.3,5.9,5.3,4.8,4.7,3.5,1.0
Cliff Levingston,92.6,7.0,6.1,5.5,5.5,5.3,4.7,3.4,1.3
Thaddeus Young,92.3,7.4,6.3,6.2,5.5,4.5,3.5,3.1,2.1
Caron Butler,91.8,7.2,6.3,5.3,5.3,5.1,4.5,3.5,2.1
Luis Scola,91.8,8.6,6.5,6.3,5.5,4.4,4.4,3.4,2.5
Nicolas Batum,91.4,7.9,6.6,5.8,5.2,5.0,4.8,3.7,3.5
Lonnie Shelton,91.1,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.1
Wayman Tisdale,90.6,7.0,5.9,5.7,5.6,4.5,3.4,3.2,1.8
