"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Greg Brown III,,0.4,0.0,-0.1
Andre Brown,80.3,0.4,0.0,-0.1
Dan Langhi,65.6,0.4,0.0,-0.1
Ignas Brazdeikis,53.8,0.5,0.1,-0.1
Bob Bigelow,52.5,0.4,0.0,0.0
Eddie Mast,51.1,0.4,0.1,-0.2
Mike Harris,49.7,0.5,0.0,-0.1
David Vaughn,46.5,0.4,0.1,-0.1
Joe Courtney,43.6,0.4,0.1,0.0
Lazar Hayward,38.9,0.3,0.1,-0.1
Ken Durrett,37.9,0.5,0.0,0.0
