"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Ivica Zubac,,11.7,7.2,6.9,6.8,6.7,6.6,3.2,1.1,1.0,,,,
Arvydas Sabonis,82.1,9.7,8.4,7.5,7.1,5.8,4.9,3.7,,,,,,
Swen Nater,80.9,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,,
Joakim Noah,80.7,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8,2.2,2.2,1.1,0.1,0.1
Jim Eakins,80.3,9.0,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,,,
Mehmet Okur,80.0,9.3,8.8,7.4,7.0,6.7,5.9,5.6,3.8,0.2,0.0,,,
Tom Owens,79.5,10.4,8.3,8.0,6.9,6.9,6.0,4.8,3.2,2.9,2.5,0.9,0.6,
Hassan Whiteside,79.4,10.3,9.5,8.5,6.3,5.8,5.3,5.3,0.9,0.2,0.0,,,
Clifford Ray,79.0,8.7,8.2,8.1,7.0,6.9,6.7,5.7,3.8,1.9,-0.3,,,
Arnie Risen,78.8,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.7,2.6,1.8,,,
Emeka Okafor,78.5,8.2,7.1,6.5,5.8,5.5,4.5,4.0,1.7,1.0,1.0,,,
