"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Isaiah Canaan,,1.4,1.4,0.6,0.5,0.2,0.1,
Patrick McCaw,88.9,1.7,1.4,0.6,0.5,0.1,,
Shaquille Harrison,87.0,1.5,1.4,0.8,0.3,0.2,0.0,0.0
Nik Stauskas,83.1,1.4,1.1,0.5,0.5,0.3,0.1,
Jimmy O'Brien,79.0,1.4,1.4,1.0,0.2,,,
Sidney Lowe,78.4,1.7,1.5,0.5,0.3,,,
Troy Daniels,76.9,1.4,1.3,1.1,0.6,0.3,0.2,0.2
Saben Lee,75.9,1.5,0.9,0.7,0.4,,,
Edmond Sumner,75.1,1.4,1.3,0.4,0.1,0.0,,
Lonnie Walker IV,73.6,1.8,1.2,0.8,0.4,0.3,0.3,0.0
Steve Alford,72.8,1.4,0.9,0.6,0.3,,,
