Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2014-15,30,LAC,NBA,SG,7,0,38,6,14,0.429,2,7,0.286,4,7,0.571,0.5,0,0,0,1,1,7,2,1,3,8,14,0,
1 Yr,1 Yr,1 Yr,1 Yr,,7,0,38,6,14,0.429,2,7,0.286,4,7,0.571,0.5,0,0,0,1,1,7,2,1,3,8,14,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,445,70,164,0.429,23,82,0.286,47,82,0.571,0.5,0,0,0,12,12,82,23,12,35,94,164,0,
