Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2004-05,22,WAS,NBA,PF,3.0,0.0,60.0,4.2,10.9,0.385,0.0,0.0,4.2,10.9,0.385,0.385,4.2,7.6,0.556,3.4,9.3,12.6,2.5,0.0,1.7,1.7,4.2,12.6,99.0,109.0,
2005-06,23,LAL,NBA,C,7.0,7.0,225.0,7.9,15.1,0.523,0.0,0.0,7.9,15.1,0.523,0.523,5.1,7.2,0.71,4.0,6.7,10.7,1.6,0.5,1.4,2.8,4.9,20.9,113.0,115.0,
2006-07,24,LAL,NBA,C,5.0,5.0,133.0,7.3,13.8,0.528,0.0,0.0,7.3,13.8,0.528,0.528,1.9,3.4,0.556,5.0,5.7,10.7,0.4,0.4,1.5,3.4,6.1,16.4,101.0,116.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,26,DET,NBA,C,3.0,0.0,48.0,3.6,9.6,0.375,0.0,0.0,3.6,9.6,0.375,0.375,3.6,4.8,0.75,7.2,10.8,18.0,0.0,0.0,3.6,3.6,14.4,10.8,90.0,108.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,18.0,12.0,466.0,6.8,13.7,0.5,0.0,0.0,6.8,13.7,0.5,0.5,3.9,5.9,0.66,4.5,7.2,11.6,1.2,0.3,1.7,2.9,6.0,17.6,106.0,114.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),,12.0,12.0,358.0,7.7,14.6,0.525,0.0,0.0,7.7,14.6,0.525,0.525,3.9,5.8,0.675,4.3,6.4,10.7,1.2,0.4,1.4,3.0,5.4,19.2,109.0,115.0,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,3.0,0.0,48.0,3.6,9.6,0.375,0.0,0.0,3.6,9.6,0.375,0.375,3.6,4.8,0.75,7.2,10.8,18.0,0.0,0.0,3.6,3.6,14.4,10.8,90.0,108.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,3.0,0.0,60.0,4.2,10.9,0.385,0.0,0.0,4.2,10.9,0.385,0.385,4.2,7.6,0.556,3.4,9.3,12.6,2.5,0.0,1.7,1.7,4.2,12.6,99.0,109.0,
