"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Chase Budinger,,3.4,3.1,3.0,1.4,1.3,0.9,0.7
Andrew DeClercq,89.1,3.4,3.1,2.9,2.5,1.6,1.0,0.4
Mike Sanders,87.4,3.9,3.1,2.7,1.2,0.8,0.8,0.6
Duane Ferrell,85.0,3.5,3.2,2.8,1.9,1.2,0.4,-0.1
Cedi Osman,84.6,3.3,2.9,1.9,1.6,1.5,0.9,0.5
Jarron Collins,84.3,4.2,3.9,3.3,1.3,1.1,1.0,0.7
Anthony Tolliver,84.3,3.3,3.2,2.7,2.5,1.2,0.9,0.0
Kyle Kuzma,84.0,3.8,3.3,3.1,2.0,2.0,0.9,0.2
Brad Lohaus,83.8,3.3,2.7,2.7,1.8,0.9,0.9,0.1
George Johnson,83.5,3.8,3.2,2.5,2.2,1.0,0.7,0.6
Scott Williams,83.2,3.9,3.1,2.6,2.3,1.7,0.9,0.3
