"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Mario Hezonja,,2.3,0.9,0.8,-0.1,-0.7
Doug Smith,82.1,2.3,1.0,0.8,-0.2,-0.9
Marty Byrnes,75.2,2.3,1.0,0.9,0.0,
Dick Gibbs,74.0,2.1,0.7,0.4,-0.1,-0.6
Grady Lewis,73.5,2.4,1.1,0.8,,
Walter Herrmann,73.3,2.4,1.0,0.7,,
Joe Kopicki,70.6,1.9,0.9,0.7,,
Derrick Brown,68.5,2.3,1.3,1.0,,
Keith Lee,64.2,1.9,1.1,0.8,,
Cliff Pondexter,64.1,2.2,1.5,1.0,,
Kenny Fields,62.4,2.8,0.7,0.7,0.0,
