Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2011-12,25,OKC,NBA,PF,5,0,17,4,5,0.8,0,0,4,5,0.8,0.8,0,0,1,1,2,0,0,0,1,1,8,0,
1 Yr,1 Yr,1 Yr,1 Yr,,5,0,17,4,5,0.8,0,0,4,5,0.8,0.8,0,0,1,1,2,0,0,0,1,1,8,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,279,66,82,0.8,0,0,66,82,0.8,0.8,0,0,16,16,33,0,0,0,16,16,131,0,
