Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2006-07,22,NJN,NBA,SG,6,0,9,1,2,0.5,0,0,1,2,0.5,0.5,0,0,0,1,1,0,0,0,0,3,2,0,
1 Yr,1 Yr,1 Yr,1 Yr,,6,0,9,1,2,0.5,0,0,1,2,0.5,0.5,0,0,0,1,1,0,0,0,0,3,2,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,123,14,27,0.5,0,0,14,27,0.5,0.5,0,0,0,14,14,0,0,0,0,41,27,0,
