"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
De'Andre Hunter,,4.4,2.5,2.2,1.7,1.1,0.1,,
Ron Behagen,89.2,4.3,2.4,2.2,2.0,1.8,0.2,0.1,
Anthony Bonner,89.1,4.1,2.4,1.8,1.6,0.7,0.0,,
KJ Martin,88.6,4.9,2.9,2.2,1.3,1.1,,,
Aaron James,88.3,4.3,2.9,2.2,2.1,1.7,,,
Frank Card,86.1,4.2,2.6,2.4,1.9,0.1,,,
Al Tucker,85.1,3.5,2.3,2.3,2.1,1.1,,,
Jon Leuer,84.6,4.5,2.7,2.0,1.4,1.3,0.9,0.2,0.1
Precious Achiuwa,84.2,3.4,2.5,2.3,2.2,1.3,,,
Dave Budd,83.7,4.1,3.2,2.3,1.2,0.9,,,
Kyle Singler,83.5,4.4,2.3,2.0,1.1,0.3,0.0,,
