"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 36_level_0', 'Awards')"
2016-17,26,MEM,NBA,WC1,SAS,L (2-4),6.0,26.5,8.3,4.2,1.2,0.8,0.3,16.0,38.0,0.421,6.0,19.0,0.316,10.0,19.0,0.526,0.5,12.0,14.0,0.857,8.0,17.0,25.0,7.0,5.0,2.0,7.0,20.0,50.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,28,PHI,NBA,EC1,BRK,W (4-1),4.0,18.3,7.0,3.5,1.0,0.5,0.0,12.0,21.0,0.571,2.0,9.0,0.222,10.0,12.0,0.833,0.619,2.0,2.0,1.0,7.0,7.0,14.0,4.0,2.0,0.0,6.0,13.0,28.0,
2018-19,28,PHI,NBA,ECS,TOR,L (3-4),7.0,22.7,7.9,4.0,1.1,0.3,0.4,19.0,43.0,0.442,7.0,23.0,0.304,12.0,20.0,0.6,0.523,10.0,17.0,0.588,9.0,19.0,28.0,8.0,2.0,3.0,4.0,18.0,55.0,
2019-20,30,ORL,NBA,EC1,MIL,L (1-4),5.0,23.8,7.0,5.8,1.2,1.0,0.4,12.0,35.0,0.343,4.0,16.0,0.25,8.0,19.0,0.421,0.4,7.0,9.0,0.778,6.0,23.0,29.0,6.0,5.0,2.0,6.0,19.0,35.0,
3 Yrs (4 Series),3 Yrs (4 Series),3 Yrs (4 Series),3 Yrs (4 Series),3 Yrs (4 Series),3 Yrs (4 Series),1-3,22.0,23.2,7.6,4.4,1.1,0.6,0.3,59.0,137.0,0.431,19.0,67.0,0.284,40.0,70.0,0.571,0.5,31.0,42.0,0.738,30.0,66.0,96.0,25.0,14.0,7.0,23.0,70.0,168.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),WC1 (1 Series),0-1,6.0,26.5,8.3,4.2,1.2,0.8,0.3,16.0,38.0,0.421,6.0,19.0,0.316,10.0,19.0,0.526,0.5,12.0,14.0,0.857,8.0,17.0,25.0,7.0,5.0,2.0,7.0,20.0,50.0,
EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),1-1,9.0,21.3,7.0,4.8,1.1,0.8,0.2,24.0,56.0,0.429,6.0,25.0,0.24,18.0,31.0,0.581,0.482,9.0,11.0,0.818,13.0,30.0,43.0,10.0,7.0,2.0,12.0,32.0,63.0,
ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),0-1,7.0,22.7,7.9,4.0,1.1,0.3,0.4,19.0,43.0,0.442,7.0,23.0,0.304,12.0,20.0,0.6,0.523,10.0,17.0,0.588,9.0,19.0,28.0,8.0,2.0,3.0,4.0,18.0,55.0,
