"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Joel Freeland,,1.6,1.4,0.2
MickaÃ«l Gelabale,94.9,1.5,1.3,0.2
Jeff Grayer,94.4,1.5,1.5,0.2
Moritz Wagner,89.2,1.7,1.2,0.2
Jerry Chambers,88.7,1.5,1.4,0.0
Rudy Macklin,88.4,1.8,1.4,0.1
Andy Johnson,88.3,1.8,1.3,0.3
Anthony Randolph,88.1,1.6,1.5,0.5
Thomas Robinson,87.9,1.6,1.5,-0.1
Tony Brown,87.7,1.8,1.3,0.2
Jon Leuer,86.9,2.0,1.4,0.2
