"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2020-21,27,WAS,NBA,C,5.0,3.0,42.0,0.571,0.571,0.571,0.571,0.585,0.5,0.0,123.0,108.0,106.0,73.0,102.0,203.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,SAC,NBA,C,7.0,0.0,54.0,0.778,0.778,0.778,0.833,0.816,0.667,0.0,164.0,142.0,143.0,107.0,140.0,250.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2024-25,31,LAL,NBA,C,2.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,14.0,3.0,100.0,0.625,0.625,0.625,0.692,0.656,0.542,0.0,133.0,116.0,115.0,89.0,114.0,212.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,7.0,0.0,54.0,0.778,0.778,0.778,0.833,0.816,0.667,0.0,164.0,142.0,143.0,107.0,140.0,250.0,0.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,5.0,3.0,42.0,0.571,0.571,0.571,0.571,0.585,0.5,0.0,123.0,108.0,106.0,73.0,102.0,203.0,0.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,2.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
