Season,Team,Lg,Salary
2013-14,Phoenix Suns,NBA,"$3,492,720"
2014-15,Phoenix Suns,NBA,"$3,649,920"
2015-16,Phoenix Suns,NBA,"$3,807,120"
2016-17,Phoenix Suns,NBA,"$4,823,621"
2017-18,Phoenix Suns,NBA,"$4,187,599"
2018-19,Atlanta Hawks,NBA,"$4,350,000"
2019-20,Sacramento Kings,NBA,"$4,160,000"
2020-21,Toronto Raptors,NBA,"$2,258,000"
2020-21,Washington Wizards,NBA,"$1,265,372"
2021-22,Sacramento Kings,NBA,"$3,732,000"
2022-23,Sacramento Kings,NBA,"$3,918,600"
2023-24,Sacramento Kings,NBA,"$2,019,706"
2024-25,Washington Wizards,NBA,"$2,087,519"
2024-25,Los Angeles Lakers,NBA,"$743,829"
Career,(may be incomplete),,"$44,496,006"
