Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2020-21,27,WAS,NBA,C,5.0,3.0,42.0,8.9,15.7,0.571,0.0,0.0,8.9,15.7,0.571,0.571,4.5,7.8,0.571,4.5,7.8,12.3,2.2,1.1,0.0,1.1,8.9,22.4,123.0,121.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,SAC,NBA,C,7.0,0.0,54.0,6.1,7.8,0.778,0.0,0.0,6.1,7.8,0.778,0.778,4.3,5.2,0.833,6.1,11.2,17.3,0.9,0.0,2.6,6.1,13.0,16.4,109.0,111.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,31,LAL,NBA,C,2.0,0.0,4.0,0.0,13.1,0.0,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,,39.4,13.1,52.6,0.0,0.0,0.0,0.0,0.0,0.0,127.0,116.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,14.0,3.0,100.0,7.1,11.3,0.625,0.0,0.0,7.1,11.3,0.625,0.625,4.2,6.1,0.692,6.6,9.9,16.5,1.4,0.5,1.4,3.8,10.8,18.3,116.0,115.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,7.0,0.0,54.0,6.1,7.8,0.778,0.0,0.0,6.1,7.8,0.778,0.778,4.3,5.2,0.833,6.1,11.2,17.3,0.9,0.0,2.6,6.1,13.0,16.4,109.0,111.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,5.0,3.0,42.0,8.9,15.7,0.571,0.0,0.0,8.9,15.7,0.571,0.571,4.5,7.8,0.571,4.5,7.8,12.3,2.2,1.1,0.0,1.1,8.9,22.4,123.0,121.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,2.0,0.0,4.0,0.0,13.1,0.0,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,,39.4,13.1,52.6,0.0,0.0,0.0,0.0,0.0,0.0,127.0,116.0,
