Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2020-21,27,WAS,NBA,C,5.0,3.0,42.0,6.9,12.0,0.571,0.0,0.0,6.9,12.0,0.571,0.571,3.4,6.0,0.571,3.4,6.0,9.4,1.7,0.9,0.0,0.9,6.9,17.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,29,SAC,NBA,C,7.0,0.0,54.0,4.7,6.0,0.778,0.0,0.0,4.7,6.0,0.778,0.778,3.3,4.0,0.833,4.7,8.7,13.3,0.7,0.0,2.0,4.7,10.0,12.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-25,31,LAL,NBA,C,2.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,,27.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,14.0,3.0,100.0,5.4,8.6,0.625,0.0,0.0,5.4,8.6,0.625,0.625,3.2,4.7,0.692,5.0,7.6,12.6,1.1,0.4,1.1,2.9,8.3,14.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,7.0,0.0,54.0,4.7,6.0,0.778,0.0,0.0,4.7,6.0,0.778,0.778,3.3,4.0,0.833,4.7,8.7,13.3,0.7,0.0,2.0,4.7,10.0,12.7,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,5.0,3.0,42.0,6.9,12.0,0.571,0.0,0.0,6.9,12.0,0.571,0.571,3.4,6.0,0.571,3.4,6.0,9.4,1.7,0.9,0.0,0.9,6.9,17.1,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,2.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,,27.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,
