Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2023-24,23,OKC,NBA,SF,9,0,66,5,16,0.313,1,3,0.333,4,13,0.308,0.344,0,0,4,6,10,4,1,0,4,5,11,0,
1 Yr,1 Yr,1 Yr,1 Yr,,9,0,66,5,16,0.313,1,3,0.333,4,13,0.308,0.344,0,0,4,6,10,4,1,0,4,5,11,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,601,46,146,0.313,9,27,0.333,36,118,0.308,0.344,0,0,36,55,91,36,9,0,36,46,100,0,
