Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2023-24,23,OKC,NBA,SF,9,0,66,3.6,11.7,0.313,0.7,2.2,0.333,2.9,9.5,0.308,0.344,0.0,0.0,2.9,4.4,7.3,2.9,0.7,0.0,2.9,3.6,8.0,78,118,
1 Yr,1 Yr,1 Yr,1 Yr,,9,0,66,3.6,11.7,0.313,0.7,2.2,0.333,2.9,9.5,0.308,0.344,0.0,0.0,2.9,4.4,7.3,2.9,0.7,0.0,2.9,3.6,8.0,78,118,
