"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Isaiah Joe,,5.1,3.8,3.5,0.6,0.4,,
Luther Head,87.3,5.7,3.5,3.5,0.9,0.6,0.6,
Josh Giddey,87.1,5.3,4.3,4.0,0.4,,,
Chick Reiser,87.1,5.5,3.9,3.7,,,,
Charles Dudley,84.8,4.6,4.0,3.6,1.6,0.2,-0.1,
Aaron Wiggins,83.6,5.4,3.7,2.6,1.2,,,
Billy Kenville,82.7,4.5,3.9,3.0,1.4,0.5,0.4,
Rudy FernÃ¡ndez,82.5,6.1,3.8,3.0,1.2,,,
Amir Coffey,82.3,4.0,3.8,2.6,0.7,0.4,0.1,
Allen Crabbe,81.7,4.3,4.2,3.2,1.3,0.8,0.1,-0.1
Mitchell Wiggins,81.6,5.4,3.5,3.3,2.0,1.2,-0.1,
