"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Santi Aldama,,5.0,4.6,2.4,0.3
Willie Naulls,94.2,5.3,4.6,2.6,0.4
Mike Bantom,94.0,4.8,4.5,2.7,0.5
Fred Hetzel,93.5,5.1,4.5,2.9,0.5
Ed Ratleff,91.9,5.6,4.5,2.1,0.5
Ben Poquette,91.3,5.4,4.9,2.5,0.6
Leon Powe,91.1,4.9,4.3,1.7,0.5
Tobias Harris,90.8,4.8,4.1,2.4,0.9
Nate Williams,89.9,4.5,4.0,2.5,0.4
Sam Hauser,87.9,4.9,4.4,3.4,0.6
Antoine Walker,87.6,5.0,4.8,2.6,1.7
