"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Gerald Green,,6.1,2.1,1.9,1.9,1.7,1.6,1.3,1.2,0.6,0.5,0.0,-0.4,,
Frank Johnson,77.1,4.3,3.0,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5,,,,
Brian Shaw,76.9,5.9,3.2,2.5,2.2,2.1,1.8,1.3,1.2,1.1,1.0,0.6,0.6,0.1,0.0
Eddie House,74.8,4.9,3.9,2.2,1.9,1.8,1.6,1.1,0.9,0.7,0.7,0.4,,,
John Battle,72.4,4.0,3.2,2.3,2.0,1.7,1.5,1.4,1.0,0.5,0.2,,,,
Johnny Dawkins,72.2,6.4,4.3,3.6,2.0,1.7,1.1,1.1,1.0,0.6,,,,,
Avery Bradley,71.3,4.8,3.1,2.5,2.4,1.8,1.5,1.2,0.4,0.3,-0.1,-0.2,-0.5,,
E'Twaun Moore,70.0,4.4,2.7,1.8,1.7,1.7,0.9,0.8,0.4,0.2,0.2,,,,
Aaron Brooks,69.8,5.5,3.6,3.3,2.2,1.4,1.1,0.9,0.8,0.3,0.1,,,,
Danny Young,69.8,4.8,3.0,2.9,2.4,1.9,1.8,1.8,1.4,0.2,-0.1,,,,
Anthony Morrow,69.7,5.7,3.5,3.0,3.0,2.4,1.9,1.7,1.2,0.7,,,,,
