Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2004-05,23,PHI,NBA,C,5.0,5.0,192.0,4.9,8.8,0.553,0.0,0.0,4.9,8.8,0.553,0.553,1.1,2.8,0.4,3.4,8.6,12.0,0.4,0.4,1.3,1.7,3.6,10.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,26,PHI,NBA,C,6.0,6.0,193.0,3.5,8.4,0.422,0.0,0.0,3.5,8.4,0.422,0.422,3.0,3.5,0.842,3.7,6.9,10.6,0.6,0.4,1.9,1.9,3.2,10.1,
2008-09,27,PHI,NBA,C,6.0,6.0,133.0,4.3,6.8,0.64,0.0,0.0,4.3,6.8,0.64,0.64,0.8,1.1,0.75,2.7,10.0,12.7,0.8,0.5,2.4,1.6,6.5,9.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,31,MIL,NBA,C,1.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,16.0,0.25,4.0,8.0,12.0,0.0,4.0,0.0,8.0,12.0,4.0,
2013-14,32,DAL,NBA,C,7.0,7.0,135.0,2.9,6.4,0.458,0.0,0.0,2.9,6.4,0.458,0.458,2.7,4.0,0.667,6.1,9.6,15.7,0.0,0.5,2.7,1.1,4.0,8.5,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,25.0,24.0,662.0,3.9,7.8,0.503,0.0,0.0,3.9,7.8,0.503,0.503,2.0,3.1,0.632,3.9,8.6,12.5,0.4,0.5,2.0,1.7,4.2,9.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI (3 Yrs),PHI (3 Yrs),PHI (3 Yrs),PHI (3 Yrs),,17.0,17.0,518.0,4.2,8.1,0.521,0.0,0.0,4.2,8.1,0.521,0.521,1.7,2.6,0.658,3.3,8.3,11.7,0.6,0.4,1.8,1.7,4.2,10.2,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,7.0,7.0,135.0,2.9,6.4,0.458,0.0,0.0,2.9,6.4,0.458,0.458,2.7,4.0,0.667,6.1,9.6,15.7,0.0,0.5,2.7,1.1,4.0,8.5,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,1.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,16.0,0.25,4.0,8.0,12.0,0.0,4.0,0.0,8.0,12.0,4.0,
