"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2004-05,23,PHI,NBA,C,5.0,5.0,192.0,0.553,0.553,0.553,0.4,0.541,0.319,0.0,124.0,118.0,115.0,53.0,102.0,98.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2007-08,26,PHI,NBA,C,6.0,6.0,193.0,0.422,0.422,0.422,0.842,0.506,0.422,0.0,92.0,87.0,85.0,111.0,94.0,138.0,0.0,
2008-09,27,PHI,NBA,C,6.0,6.0,133.0,0.64,0.64,0.64,0.75,0.654,0.16,0.0,140.0,132.0,128.0,97.0,120.0,52.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2012-13,31,MIL,NBA,C,1.0,0.0,9.0,0.0,0.0,0.0,0.25,0.133,2.0,0.0,0.0,0.0,0.0,33.0,25.0,739.0,0.0,
2013-14,32,DAL,NBA,C,7.0,7.0,135.0,0.458,0.458,0.458,0.667,0.523,0.625,0.0,101.0,94.0,91.0,88.0,97.0,220.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,25.0,24.0,662.0,0.503,0.503,0.503,0.632,0.535,0.399,0.0,111.0,105.0,102.0,83.0,100.0,132.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
PHI (3 Yrs),PHI (3 Yrs),PHI (3 Yrs),PHI (3 Yrs),,17.0,17.0,518.0,0.521,0.521,0.521,0.658,0.55,0.325,0.0,115.0,109.0,106.0,87.0,102.0,104.0,0.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,7.0,7.0,135.0,0.458,0.458,0.458,0.667,0.523,0.625,0.0,101.0,94.0,91.0,88.0,97.0,220.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,1.0,0.0,9.0,0.0,0.0,0.0,0.25,0.133,2.0,0.0,0.0,0.0,0.0,33.0,25.0,739.0,0.0,
