"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Samuel Dalembert,,6.9,6.9,6.2,5.2,4.9,4.1,4.0,3.9,3.6,2.9,2.2,0.3,0.3
James Edwards,91.8,7.1,7.0,6.7,5.6,4.5,4.4,4.3,3.7,3.0,2.8,1.5,1.4,1.0
Rick Mahorn,88.8,6.2,5.9,5.9,5.3,4.8,4.6,4.4,3.6,2.5,2.3,1.8,1.3,0.5
Rik Smits,88.7,7.8,7.2,6.6,6.1,5.0,4.3,3.8,3.4,3.4,3.3,2.9,2.7,
Caldwell Jones,88.3,8.1,7.6,6.2,5.5,5.2,5.0,4.4,4.1,3.9,3.1,2.5,2.3,0.9
Theo Ratliff,88.0,6.8,5.6,5.4,5.2,5.2,4.0,3.9,3.8,2.3,2.0,0.8,0.1,0.0
Myles Turner,88.0,8.0,6.3,5.8,5.4,4.7,4.7,4.2,3.3,3.1,3.1,,,
Mark Eaton,87.5,6.6,5.5,5.4,5.3,4.1,4.0,3.8,3.7,3.6,1.9,0.8,,
Mychal Thompson,87.1,8.2,6.9,6.1,5.4,5.3,5.2,4.7,4.6,4.4,3.7,2.6,2.1,
Brendan Haywood,86.8,6.8,6.7,5.2,5.0,3.9,3.8,3.4,3.1,2.9,2.7,0.2,0.1,0.0
Andrew Bogut,86.3,7.5,6.5,5.5,5.4,5.4,5.2,4.8,4.0,2.6,1.7,0.7,0.5,0.4
