"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Michael Porter Jr.,,6.9,6.4,6.2,4.3,2.9,-0.2
Wil Jones,89.7,7.4,6.9,6.0,4.0,2.3,0.6
Chandler Parsons,89.4,7.6,7.0,5.5,4.3,3.4,0.2
Rudy Gay,88.7,6.4,6.0,5.5,5.0,3.3,0.5
Larry Siegfried,88.6,6.4,5.8,5.6,5.1,3.2,0.5
Tobias Harris,88.3,6.8,6.6,4.8,4.1,2.4,0.9
Ruben Patterson,87.8,6.7,5.6,5.5,3.2,3.0,0.2
Ersan Ä°lyasova,87.5,6.7,6.4,5.8,3.8,1.6,1.0
Danilo Gallinari,87.3,7.2,6.1,5.6,3.9,3.9,1.0
Julian Hammond,86.4,6.7,6.6,5.7,5.1,0.8,
Antoine Walker,86.0,6.7,6.6,5.0,4.8,2.6,1.7
