"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Isaiah Mobley,,0.2,0.0,0.0
David Thirdkill,86.2,0.3,0.0,0.0
Alando Tucker,78.7,0.2,0.1,0.0
Easy Parham,76.9,0.3,0.1,0.0
Mfiondu Kabengele,69.3,0.2,0.2,0.1
Doug Edwards,59.7,0.2,0.1,0.0
Pops Mensah-Bonsu,58.3,0.3,0.0,0.0
Jordan Mickey,58.0,0.3,0.1,0.1
Braxton Key,56.6,0.2,0.2,0.0
Louis King,53.3,0.3,0.0,0.0
Jackie Robinson,49.4,0.2,0.1,0.0
