Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,33.0,ATL,NBA,SG,1,0,15:35,7,13,0.538,7,12,0.583,0,0,,0,1,2,0,0,0,1,21
Career,,,NBA,,1,0,16,7,13,0.538,7,12,0.583,0,0,,0,1,2,0,0,0,1,21
