"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Jalen Suggs,,4.7,1.4,1.1,-1.6,,,,,
Al Butler,61.3,4.1,2.1,1.1,-0.3,,,,,
Terry Dehere,58.9,5.0,1.2,1.0,0.5,0.0,-0.4,,,
Stan Stutz,57.8,3.9,1.7,1.1,,,,,,
Ron Perry,57.4,4.4,1.4,0.3,,,,,,
Dyson Daniels,54.5,5.0,2.9,1.3,,,,,,
Jason Hart,54.3,4.8,1.9,1.5,0.4,0.3,0.1,0.0,0.0,-0.3
Angelo Musi,53.6,3.5,1.3,1.1,,,,,,
Jeff Congdon,52.2,4.3,0.9,0.7,0.3,0.0,,,,
Earl Tatum,52.1,4.4,2.6,0.7,0.0,,,,,
JiÅÃ­ Welsch,52.0,3.6,1.7,0.8,-0.4,,,,,
