"('Thru 17 Years', 'Player')","('Thru 17 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')"
DeAndre Jordan,,12.8,11.8,11.5,11.1,9.4,7.1,6.2,5.6,5.2,5.2,3.9,1.9,1.8,1.5,1.4,1.3,1.2
Dave Cowens,87.0,12.0,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4,2.6,,,,,,
Karl-Anthony Towns,83.9,14.0,12.7,10.4,10.3,10.1,8.3,6.3,5.4,5.1,2.7,,,,,,,
Alonzo Mourning,82.7,12.9,9.9,9.4,8.4,8.2,7.9,7.5,7.4,6.3,4.8,3.5,1.2,0.9,0.8,0.6,,
Tyson Chandler,82.1,10.3,10.0,9.5,9.4,9.3,8.3,7.9,5.4,4.9,4.1,3.9,3.8,3.4,2.9,2.7,1.9,1.8
Zelmo Beaty,81.6,16.0,15.1,11.8,10.8,10.3,9.0,8.4,7.7,5.2,4.8,4.5,2.3,,,,,
Marc Gasol,81.1,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6.0,5.6,4.0,3.7,3.0,2.8,,,,
Larry Foust,79.6,13.3,11.1,10.4,7.1,6.4,6.3,4.9,4.7,4.5,4.2,3.1,3.1,,,,,
Bob Lanier,79.5,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,6.8,6.7,6.6,5.9,5.2,2.3,,,
Patrick Ewing,79.4,13.5,13.1,13.0,10.9,10.6,10.0,9.8,9.6,8.1,6.8,4.8,3.5,3.3,3.1,3.0,2.0,1.4
Wes Unseld,78.1,11.1,10.8,10.7,10.6,10.0,9.5,8.7,8.4,8.3,6.8,6.2,5.5,3.6,,,,
