"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Juancho HernangÃ³mez,,3.0,1.8,1.1,0.9,0.9,0.7,0.4,,,
Marty Conlon,89.1,3.1,1.8,1.4,1.0,0.8,0.6,0.3,0.0,-0.1,
Jeremy Evans,89.1,2.8,1.6,1.3,0.9,0.9,0.6,0.0,,,
Mark Madsen,86.6,2.7,1.9,1.1,1.1,0.8,0.6,0.4,-0.1,-0.3,
Noah Vonleh,83.5,3.2,1.8,1.6,1.2,1.0,0.5,0.2,-0.1,,
Jarvis Hayes,81.9,2.9,2.1,1.7,1.5,0.8,0.7,0.5,,,
Jeff Turner,81.0,3.1,1.4,1.2,1.2,1.1,0.8,0.6,-0.1,-0.2,-0.2
James Singleton,80.3,3.0,2.3,1.1,1.0,0.7,,,,,
Cristiano FelÃ­cio,80.1,3.4,1.7,1.4,1.2,1.0,0.3,,,,
Lorenzo Williams,79.9,3.1,1.7,1.1,0.4,0.4,0.3,0.3,,,
Quincy Acy,78.1,2.5,1.7,1.5,1.1,1.0,0.9,-0.1,,,
